name,area,area_id,craving_id,occasion_id,vibe,cuisine,price_id,price,description,speciality,address,closest_tube_station,opening_hours,website_link
Blend,Harringay,1,1,3,Cosy,Columbian,1,25,"Brunch is served from 8.30am every day of the week at Green Lanes’ Blend, which explains why it’s usually filled with local mums and their nippers. Keep your brekkie simple with a ham and cheese croissant or superfood-filled porridge, or live it large with Amaretto-laced French toast or a full-on fry-up. The convivial daytime vibe is aided by pretty pendant lighting and lovely works of art on the walls. Service can slow a bit at busier times, but Aussie coffee will make the wait pleasurable.",Treat your kids to the ‘toddler-approved’ mini menu – the lovely early-day options are cheap as chips.,"587 Green Lanes 
London 
N8 0RG",Turnpike Lane,"8.30am-3pm Mon - Weds; 8.30am-3pm, 6-10pm Thurs-Fri;  9.30am-3pm, 6-10pm Sat; 10am-3pm Sun",http://www.localblend.co.uk/
Blixen,Spitalfields,2,1,4,Instagrammable,European,1,30,"The brunch menu here is short and sweet, but you’ll still struggle to decide between the blueberry pancakes with whipped mascarpone, a posh bacon and egg sarnie, and the ‘everything’ breakfast with, well, everything. Weekend brunch is served from 10am to 3.30pm (4pm on Sundays), which will allow you plenty of time to sleep off that hangover before getting togged up. Alternatively, opt for the all-day menu, which includes the excellent potato rösti topped with salt beef and poached eggs, all slathered in mustard hollandaise. Your arteries might not thank you, but your hangover definitely will."," That salt beef rösti. So good, it’s worth mentioning twice.","65a Brushfield Street 
London 
E1 6AA ",Liverpool Street,11am-11pm Mon-Fri; 10am-11pm Sat; 10am-6pm Sun,http://blixen.co.uk/
Bourne & Hollingsworth Buildings,Clerkenwell,5,3,2,Instagrammable,Indian,2,35,"From the outside this black-painted building looks rather severe. But step inside and suddenly you’re in a bright and airy space that feels more like colonial-era Delhi than modern-day Clerkenwell. This is a place for elegant yet laid back brunching. The food is very good: their huevos benedictos are a perfect balance of spicy chorizo and creamy béarnaise sauce, while the drop scones with clotted cream, berries and honey are an indulgent treat that veer close to pudding territory.",These guys were among the first to bring the New York trend of bottomless brunching to our fair shores. Grab a prosecco – or the stunning cocktail list.,"42 Northampton Rd 
London 
EC1R 0HU ",Farringdon,11am-12pm Mon-Thurs; 11am-1am Fri; 10am-1am Sat; 10am-6pm Sun,http://www.bandhbuildings.com/
Brickwood Balham,Balham,3,2,3,Cosy,Contemp,1,25,"With its Clapham branch doing a roaring trade, Brickwood has upped the game for Balham, mixing a beautifully crafted shack-like interior and an extensive menu with cheerful Aussie service that’s even chummier than the norm. Brunch is served until 3pm, with imaginative dishes such as four-cheese sourdough toasties, sweet potato and feta with poached egg and kale pesto on toast or the Brickwood burrito – scrambled eggs, potato hash, pulled pork, red pepper salsa and sour cream. Best of all? You probably won’t have to queue – unlike the jam-packed Milk Café nearby."," Wild mushrooms on brioche with a poached egg, grated pecorino and truffle oil – plus some morsels of ham hock (two quid extra, but worth it).","11 Hildreth St 
London 
SW12 9RQ",Balham,"7am-6pm Mon-Fri. 9am-6pm Sat, Sun. Brunch served until 3pm daily",http://www.brickwoodlondon.com/
Brother Marcus,Balham,3,1,5,Hipster,Contemp,1,25,"This buzzing Brooklyn-style café and cocktail bar in Balham comes courtesy of three school besties, who serve hip weekend brunches alongside gallons of silky smooth coffee. The brunch menu has something for everyone, from sticky pastries and fruit-topped cereals, to eggs most ways; signature serves include smoked salmon with asparagus and scrambled eggs, and cinnamon French toast with maple syrup and mascarpone.",A slice of the house banana bread to end your feast on a sweet note.,"9 Chestnut Grove 
London 
SW12 8JA ",Balham,8am-4.30pm Mon-Fri; 9am-4pm Sat; 9.30am-4pm Sun,http://brothermarcus.co.uk/
Caravan,King's Cross,1,1,4,Instagrammable,Middle Eastern,2,35,"As at the Clerkenwell original (and its newest outpost near Tate Modern on Southbank), the menu here takes influences from many parts of the world. One of the myriad attractions of the brunch menu is its happy accommodation of vegetarians: it’s easy to avoid meat here if you are so inclined, and even carnivores might be tempted by jalapeño cornbread with fried eggs, black beans, avocado, chipotle and lime.",Post-brunch desserts that include vanilla ice cream doused in salted-caramel espresso.,"Granary Building 
1 Granary Square 
London 
N1C 4AA",King's Cross or St Pancras tube/rail,"Breakfast served 8-11.30pm Mon-Fri. Brunch served 10am-4pm Sat, Sun. Meals served noon-10.30pm Mon-Fri; 5-10.30pm Sat",http://www.caravanrestaurants.co.uk/
Casita Andina,Soho,5,3,1,Hipster,Latin,2,45,"The all-day weekend-only brunch at this cute Soho spin-off of Andina is a laid-back Latin affair. Pisco sours are basically mandatory (ask for the strawberry and raspberry version, it’s a dream), and the brunch is a colourful, inventive mix of ceviche and superfoods. Take yours out to Casita’s ‘secret’ outdoor terrace – all bright blue walls, pot plants and three tiny tables in the sunshine, it’s a slice of Lima in London. Plus there’s a retractable awning to keep you dry in winter.","Casita’s take on eggs benedict, made of bacon and egg on a sweetcorn soufflé with coriander hollandaise. Brunch has never felt this exotic.","31 Great Windmill Street 
London 
W1D 7LP ",Piccadilly Circus,Mon-Fri 11am-midnight; Sat & Sun 10am-midnight,https://www.cevichefamily.com/andina/casita-andina-piccadilly
Chick 'n' Sours,Kingsland,2,2,6,Hipster,Contemp,2,40,"If you fancy chicken and cocktails first thing, this is the place for you – but it offers so much more than poultry and a piss-up. Roll in from noon on weekends, choose either the brunch bun (a towering Korean-spiced burger with added bacon and egg, overflowing with gochujang mayo), or an entire dressed fried chook to share. Pair with some perfectly-poised sours and some Asian-inspired sides, then tuck into the most tender, crunchy and downright delicious chicken in Dalston. A visit to this colourful little coop will definitely make your weekend fly.",The dips. The tangy kewpie mayo in particular is sure to ruffle a few feathers.,"390 Kingsland Road 
London 
E8 4AA",Dalston Junction or Haggerston Overground,Tues-Thurs 6pm-11pm; Fri 6pm-12.30am; Sat 11am-12.30am; Sun 11am-10.30pm,http://www.chicknsours.co.uk/
Ceru,South Kensington,4,4,4,Cosy,Middle Eastern,1,25,"Colourful Ceru’s good-value menu roams the Eastern Med, running through the greatest hits of the Levant. Think merguez chicken, Persian kofta, fragrant dips and spicy salads. At weekends the small hangover-busting brunch menu also features shakshuka (with baked eggs in a punchy tomato sauce seasoned with cayenne pepper and fennel seeds) and a spicy lamb shawarma hash topped with a fried egg",Shakshuka with grilled halloumi.,"7-9 Bute St 
London 
SW7 3EY ",South Kensington,Mon-Fri 12noon-11pm; Sat 11am-11pm; Sun 11am-10pm,http://www.cerurestaurants.com/
Chiltern Firehouse,Marylebone,4,1,2,Instagrammable,Contemp,2,50,"The fashionable London restaurant is virtually impossible to get a dinner reservation at, unless you’re an A-list celeb. However, it does brunch from 11am-3pm at weekends, when it’s slightly easier to get a table. Be warned: prices are very high. Lobster and crab omelette costs £26, eggs benedict £15, pancakes £12 – but the dishes are all excellent. No bookings are taken, so arrive early – and smile like you’re a regular on the red carpet.",Nuno Mendes’ famous crab-stuffed donuts (with ‘coral dusting’!) feature on the brunch menu. It would be a shame not to try them.,"1 Chiltern St 
London 
W1U 7PA",Bond Street or Baker Street tube,"8-10.30am, noon-3pm, 6-11pm Mon-Fri; 11am-3pm, 6-11pm Sat-Sun",http://www.chilternfirehouse.com/
Coal Rooms,Peckham,3,2,3,Hipster,Contemp,1,30,"Where to go for Saturday brunch in Peckham? How about the old ticket office next door to the station? Now an ever-so-cool small-plates eatery, the Coal Rooms has the lot – counter seating, a robata grill, and a kitchen that likes ramping up the transatlantic flavours. That brunch offer (from 10am) runs from Old Spike coffee and Blood Caesar cocktails to pastrami salmon with smoked cream cheese or chickpea tacos with black beans and chimichurri – plus Peckham Fatboy fries on the side, and apple and cheddar pie to finish.","Sharing a mighty full English – a right royal plateful involving smoked goat sausages, smoked pig’s head blood pudding, fried duck eggs, smoked bone marrow and more.","11a Station Way 
Peckham 
London 
SE15 4RX",Peckham Rye Overground,"Monday - Friday: 6.30am - 11.00pm
Saturday : 8.00am - 11.00pm
Sunday: 8.00am - 6.00pm",https://www.coalroomspeckham.com/
Coppa Club Tower Bridge,Aldgate,2,3,4,Instagrammable,Contemp,2,35,"If its vivid, green-and-gold interior doesn’t wake you up, Coppa Club’s front-row view of Tower Bridge and City Hall should do the trick. Along the same stretch of the north bank as the Tower of London, this glam-but-chilled riverside restaurant has a massive terrace and a varied brunch, peppered with healthy ingredients. From hangover-slaying baked eggs with chorizo and tangy tomato ragu, to a virtuous and hefty ‘super bowl’ of quinoa, almonds, and citrus wedges, Coppa covers all brunch bases.","The kale toast. It’s layered with avocado and two oozing fried eggs, then garlanded with trails of sriracha – a joyful tumble of crunch, cream and fire.","Three Quays Walk 
Lower Thames Street 
London 
EC3R 6AG ",Tower Hill,Monday to Thursday: 07:30 - 23:00; Friday: 07:30 - 23:59; Saturday: 09:00 - 23:59; Sunday: 09:00 - 22:30,http://www.coppaclub.co.uk/towerbridge
Dean Street Townhouse,Soho,5,1,4,Instagrammable,Contemp,2,35,"Even at an early hour, the dark-panelled dining rooms of this ever-popular all-day Soho restaurant buzz with the animated chatter of media types. The smooth service eases things along nicely, too. It’s largely classics on the brunch menu: eggs all ways, porridge, kedgeree, full English. There are fruit smoothies and Scots will be heartened to see tattie scones and lorne (flat) sausage.","Go trad with the kedgeree, but slosh it down with an Heirloom Mary of voddy, pineapple, tomato, Umeshu plum brandy, tabasco and wasabi.","69-71 Dean Street 
London 
W1D 3SE ",Piccadilly Circus or Tottenham Court Road,"Breakfast served 7am-noon Mon-Fri; 8am-noon Sat, Sun. Brunch served noon-5pm Sat, Sun. Tea served 3-5pm daily. Meals served noon-midnight Mon-Sat; noon-10.30pm Sun",http://www.deanstreettownhouse.com/
Dehesa,Soho,5,3,4,Cosy,Spanish,1,30,"Sipping a gloriously red blood-orange bellini just out of reach of Carnaby Street’s weekend crowds is enough to make you feel like Dehesa is your own little brunch-y secret. The calm and classy dining room serves a Spanish-ish brunch menu that’s a far cry from your trad beans-on-toast offerings. Sweet options include churros with chocolate, or waffles topped with caramelised apples and whipped yoghurt, while savoury pulls such as grilled Mahón cheese with roasted tomatoes, potato cake and chargrilled courgettes are the sorts of dishes that don’t pop up on brunch menus very often but really should.",Whatever they’ve made with chorizo. Always choose the chorizo.,"25 Ganton Street 
London 
W1F 9BP",Oxford Circus,Tapas served noon-11pm Mon-Sat; noon-5pm Sun,https://www.saltyardgroup.co.uk/
Dominique Ansel Bakery,Belgravia,5,3,4,Instagrammable,Bakery,2,35,"Dominique Ansel Bakery should really rename itself MTJC: More Than Just Cronuts. The London outpost of the NYC joint behind the cult croissant-doughnut-combo also does a mean line in proper puds, patisserie, and yes, even avocado on toast. Be sure to go on a warm day, so you can sit on the slim pergola-shaded back terrace (easily the nicest spot) and feast on the sensational, béchamel-slathered croque monsieur.",That croque. Sooo good.,"17-21 Elizabeth Street 
London 
SW1W 9RP ",Victoria,Mon-Sat 8am-8pm; Sun 9am-8pm,http://dominiqueansellondon.com/
Duck & Waffle,Moorgate,5,1,4,Fancy-Pantz,Contemp,2,50,"If you think the à la carte menu at this City high-flier is rich, wait until you encounter its brunch. The menu covers English fry-ups, Belgian waffles, and the signature duck ‘n’ waffle (crispy duck leg confit topped with a fried duck egg and mustard maple syrup) as well as the likes of ox-cheek benedict (served on a waffle with hollandaise AND sriracha), foie gras brûlée, and truffled baked duck eggs served with wild mushrooms, melted gruyère and soldiers. Prices are also sky-high – but here it’s a clear case of go big or go home.",Those views. Say good morning to the whole of the city.,"Heron Tower 
110 Bishopsgate 
London 
EC2N 4AY",Liverpool Street,"24 hours a day, 7 days a week",https://duckandwaffle.com/
Iddu,South Kensington,4,3,5,Cosy,Italian,2,35,"his bustling Sicilian café ups the ante on Sundays, when well-heeled locals descend for its all-day Italian-inflected brunches: think baskets of oven-warm breads to slather in Sicilian jam, silky caponata with a side of poached eggs, and Continental-style charcuterie and cheeses, all washed down with hand-pressed juices and superior coffee. It’s a slice of la bella vita in London.","Dolci that include fresh cannoli, served with nuts for dipping.","44 Harrington Road 
London 
SW7 3ND",South Kensington,Open Mon-Sun 7.30am-10pm,http://www.iddulondon.com/
Farmacy,Royal Oak,4,1,4,Instagrammable,Contemp,3,60,"Airy, elegant and laid-back, Farmacy has ‘meet me for brunch’ stamped all over its chic interior. The free-from menu suits vegans, vegetarians and anyone avoiding gluten or dairy. But, happily, ‘no additives’ doesn’t mean ‘no taste’. In fact, dishes such as sweet potato cakes and calzone are packed with flavour and interesting textures. Stylish salads and hearty ‘earth bowls’ sit beside brunch classics including the (meat-free) English breakfast.","The Farmacy burger – trust us, you won’t miss the meat.","74 Westbourne Grove 
London 
W2 5SH ",Notting Hill or Bayswater,"MON – FRI
9am - 5pm, 
6pm - 10pm
; SATURDAY
9am - 4pm, 
6pm - 10pm; SUNDAY
9am - 4pm, 
6pm - 9:30pm",https://farmacylondon.com/
Fink's Salt & Sweet,Brownswood Park,1,2,3,Hipster,Contemp,1,30,"Despite its off-the-beaten-track spot on a residential road in Highbury, Fink’s is almost always full – and it’s worth hanging around for a brunch table at weekends. The trendy and very tempting menu is great value and offers dishes that you won’t find elsewhere – crumpets topped with Marmite butter and cheddar, say, or bacon sarnies in challah bread spread with cinnamon butter and drizzled with maple syrup. Service can get a little flustered thanks to the place’s popularity but it’s friendly and food doesn’t suffer for it. Brunch traditionalists might baulk at the lack of egg staples, but we love the originality of this irresistible menu.",Inventive brunch cocktails that are sure to wake you up.,"70 Mountgrove Rd 
Highbury 
London 
N5 2LT ",Arsenal,9am-7pm Mon-Wed; 9am-11pm Thur-Sat; 10am-5pm Sun,http://www.finks.co.uk/
Florentine Restaurant & Bar,Lambeth,3,2,6,Cosy,Italian,1,25,"You wouldn’t guess it, but this all-day diner is actually the main restaurant for the Park Plaza Waterloo next door – and it’s a real treat. Take the brunch route by plundering their line-up of all-day egg dishes (omelettes, scrambled, florentine… ostrich!) or hit the flatbreads – anything from smoked burrata, aubergine and tomato to Tuscan sausages with Stilton and rocket. Otherwise, cherry-pick from the salads, pasta and burgers, with British bubbles and BrewDog beers on hand to wash it all down nicely.",The full English with a huge fried ostrich egg – the whole plateful serves six and weighs in at a whopping £65. Ring ahead to check availability (those ostriches are temperamental birds).,"6 Hercules Rd 
London 
SE1 7DP ",Lambeth North,Mon-Fri 11.30am-10.30pm; Sat 8.30am-10.30pm; Sun 8.30am-10pm,http://www.florentinerestaurant.co.uk/
Franks canteen,Highbury,1,2,4,Hipster,Contemp,1,30,"On the days when you wake up with only a headache and some freeze-dried coffee for company, what you need is a sanctuary. With its serene but welcoming atmosphere and short but tempting food menu – think ratte potatoes with smoked pancetta and charred artichoke, or bacon and sausage sarnies with mango chutney and a fried egg – Franks will fix your day before it’s even had a chance to go wrong. Good coffee, efficient staff, a playlist full of songs you remember fondly and generous portions gently transform you from duvet zombie to chipper day-seizer with minimum fuss.","How about turmeric poached eggs, root veg bhaji, fried curry leaves, chilli chutney, cucumber and mint raita, and parathas. You read that right.","86 Highbury Park 
London 
N5 2XE",Arsenal,Wed-Sun 9am-3pm,https://www.frankscanteen.com/
Foxlow Balham,Balham,3,3,6,Cosy,Contemp,2,35,"Foxlow more than holds its own among Balham’s bevy of brunch spots – decor-wise, it’s big on the ’70s vibe, and its olive-green leather banquettes are the ideal place in which to ensconce yourself with the (provided) papers after a heavy night on the Clapham strip. This being an all-day restaurant from the Hawksmoor team, it’s unsurprising that brunch offers comforting meaty grub – the order du jour being the fried chicken, egg and croissant waffle (with sausage gravy). Veggies need not panic, though – similarly hearty meat-free offerings include the chilli- and herb-laden sweet potato and kale hash, topped with a fried egg.","Notably good soft drinks, including Vietnamese iced coffee and fresh grapefruit soda (there are brunch cocktails, too).","15-19 Bedford Hill 
London 
SW12 9EX",Balham,Monday: 11am – 8:30pm; Tuesday – Thursday: 11am – 11pm; Friday: 11am – 11pm; Saturday: 10am – 11pm; Sunday: 10am – 8.30pm ,https://www.foxlow.co.uk/
The Good Egg,Trafalgar Square,5,4,5,Cosy,Contemp,2,40,"Soho is known for giving good brunch, and this West End offshoot of Stokey’s Good Egg is just the ticket for Kingly Street’s touristy hordes. Expect queues out the door for the weekend’s blowout at this breezy daytime hangout, which touts a short menu of colourful Middle-Eastern delights – think crispy halloumi, marinated aubergines, Hanukkah brisket hash and exotic grain bowls. There are breads and bagels from the clay oven, exotic nibbles to share and cardamom-infused coffee cocktails to drink.",Finish on a sweet note with sweet babka loaf for the table.,"Unit G9 
Kingly Court 
Soho 
London 
W1B 5PW ",Oxford Circus,"Mon-Thu – 8am-11pm
Fri –  8am-12am
Sat – 9am-12am
Sun – 11am-11pm",http://thegoodeggn16.com/
Granger & Co,Westbourne,4,1,4,Instagrammable,Australian,2,45,"Bill Granger has built a TV cooking career out of selling the Aussie dream: lots of sunlight, casual vibes, easy-going photogenic dishes. As one of his London outlets, this Notting Hill eatery ticks all the boxes: it’s spacious and bright with big windows and verdant views. Less obvious brunch choices include a ginger prawn egg-white omelette. Booking is essential – the place fills up quickly with affluent-looking folk.",The signature dish of ricotta hotcakes with banana and honeycomb butter; cloud-like lightness.,"175 Westbourne Grove 
London 
W11 2SB",Notting Hill Gate,Breakfast served 7am-noon Mon-Sat; 8am-noon Sunday. Lunch served noon-5pm daily. Dinner served 5-10.30pm Mon-Sat; 5-10pm Sun,http://www.billgranger.co.uk/
Hash E8,Dalston,2,2,3,Hipster,British American,1,30,"`This friendly all-day Dalston café bills itself as a modern greasy spoon – thanks to its devotion to hash browns and all things porky, it’s perfected the art of curing hangovers. Its quirky brunch dishes (available Tuesday to Sunday) strike the perfect balance between wholesomeness and the restorative powers of fried bacon – dishes sneak in a surprising amount of veg, from kale to homemade beans. The Posh Pig Muffin is particularly good, and the vegetarian options are genuinely decent, too, for a place so in thrall to the trotter. Expect to queue at weekends.",Sides that include a ‘bucket of bacon’ with maple syrup.,"170 Dalston Lane 
London 
E8 1NG ",Dalston Junction overground,"TUESDAY - FRIDAY - 8.30am - 4pm    
SATURDAY & SUNDAY - 9.30am - 4pm",http://www.hashe8.com/
Herman ze German,Fitzrovia,5,2,4,Hipster,German,2,35,"Herman ze German may do the best wurst in London, but the weekend-only brunch here is so much more than a sausage fest. A tad posher than their grab-and-go breakfast offering, this menu features sourdough topped with chopped ginger and honey, butterbean stew and an excellent strammer max – two fried eggs served with sharp mature cheddar and black-forest ham. The bright, airy space in Fitzrovia is a lovely spot to while away a morning, so you can kick back and really dig in.","The bloody mary. Made according to a secret family recipe, this is a superlative hangover-basher.","43 Charlotte St 
London 
W1T 1RS ",Goodge Street,Mon-Thur 11.30am-11.30pm; Fri-Sat 11am-midnight; Sun 11am-10.30pm,http://www.hermanzegerman.com/
HotBox,Spitalfields,2,2,5,Hipster,Contemp,3,80,"If your idea of brunch is a virtuous bowl of granola or some sort of chia seed concoction, you’re in the wrong place. Meat is the order of the day at Hotbox, with deliciously indulgent dishes including smoked hash, eight-hour smoked pork ribs and a truffled-chicken waffle with maple syrup. That said, the veggie options don’t feel like an afterthought – there are buttermilk pancakes with caramelised bananas and berries, smoky baked eggs, and crushed avocado on sourdough (obviously). Oh, and the portions are huge – which is definitely a good thing if you’re planning to make the most of their bottomless cocktails.",The bloody marys – they’re served in huge tankards and there are five to choose from (including one made with smoked dripping).,"46 Commercial Street 
London 
E1 6LT",Aldgate East,6pm-midnight Tues-Wed; 6pm-1am Thurs-Sat; 5pm-11pm Sun,http://hotboxlondon.co.uk/
The Ivy Soho Brasserie,Soho,5,1,2,Fancy-Pantz,Contemp,2,40,"Weekend brunch might look like a humble afterthought on The Ivy Soho Brasserie’s all-day menu, but despite the limited options, you’re guaranteed to get impeccable food for a lazy but classy afternoon up west. Keep it light with wild mushrooms on toasted brioche, a truffled chicken sandwich and chips or hot buttermilk pancakes; otherwise, play havoc with your calorie intake by ordering a chocolate bombe or cherry ice-cream sundae to finish. Go on. Treat yourself!"," The ‘French dip’ – a steak sandwich with a mouth-watering combo of caramelised onions, horseradish mayonnaise with burgundy sauce and chips that ought to put any hangover to rights.","26-28 Broadwick Street 
Soho 
London 
W1F 8JB",Oxford Circus,Monday - Saturday: 8am-12am,https://theivysohobrasserie.com/
